state,dollars,payments,physican_dollars,physican_payments,hospital_dollars,hospital_payments
AZ,1171.78,4,1171.78,4,0,0
FL,1628.93,15,1628.93,15,0,0
GA,665.94,4,665.94,4,0,0
IA,125.2,2,125.2,2,0,0
KY,1350.15,4,1350.15,4,0,0
MA,1807.92,25,1807.92,25,0,0
MD,492.3,5,492.3,5,0,0
MN,2645.01,5,2645.01,5,0,0
MO,233.25,4,233.25,4,0,0
NC,49.79,1,49.79,1,0,0
NJ,1468.9,11,1468.9,11,0,0
NY,2832.64,31,2832.64,31,0,0
OH,13.91,1,13.91,1,0,0
PA,106.35,3,106.35,3,0,0
PR,7193.85,176,7193.85,176,0,0
SC,317.13,9,317.13,9,0,0
TN,586.71,7,586.71,7,0,0
TX,1366.75,8,1366.75,8,0,0
VA,353.87,11,353.87,11,0,0
