state,dollars,payments,physican_dollars,physican_payments,hospital_dollars,hospital_payments
CA,46197.57,16,46197.57,16,0,0
CO,10508.01,4,10508.01,4,0,0
FL,75.13,1,75.13,1,0,0
GA,913.25,1,913.25,1,0,0
IL,35816.0,11,35816.0,11,0,0
MA,312897.89,52,312897.89,52,0,0
MD,1228.06,7,1228.06,7,0,0
MI,866.0,1,866.0,1,0,0
MN,47620.0,2,47620.0,2,0,0
MO,57273.95,23,57273.95,23,0,0
NC,21575.88,7,21575.88,7,0,0
NE,1720.0,1,1720.0,1,0,0
NJ,817.12,2,817.12,2,0,0
NV,18772.77,7,18772.77,7,0,0
NY,47761.41,31,47761.41,31,0,0
OK,15552.0,2,15552.0,2,0,0
PA,18277.88,11,18277.88,11,0,0
TX,103453.87,57,103453.87,57,0,0
VA,13442.33,2,13442.33,2,0,0
WA,16895.5,5,16895.5,5,0,0
