state,dollars,payments,physican_dollars,physican_payments,hospital_dollars,hospital_payments
AL,160.38,10,160.38,10,0,0
AZ,411.11,10,411.11,10,0,0
CA,4905.17,81,4905.17,81,0,0
CT,14.35,1,14.35,1,0,0
FL,453.1,19,453.1,19,0,0
GA,28.43,1,28.43,1,0,0
KY,11.14,1,11.14,1,0,0
LA,500.0,1,500.0,1,0,0
MD,525.77,4,525.77,4,0,0
MO,1017.4,7,1017.4,7,0,0
MS,11.01,1,11.01,1,0,0
NC,567.04,5,567.04,5,0,0
NJ,21.8,2,21.8,2,0,0
NV,59.1,2,59.1,2,0,0
NY,7136.72,133,7136.72,133,0,0
OH,448.07,3,448.07,3,0,0
OK,1089.87,7,1089.87,7,0,0
PA,995.46,25,995.46,25,0,0
TX,1268.46,46,1268.46,46,0,0
UT,31.53,3,31.53,3,0,0
