state,dollars,payments,physican_dollars,physican_payments,hospital_dollars,hospital_payments
CA,120.0,1,120.0,1,0,0
CT,499.53,4,499.53,4,0,0
FL,293961.93,7,293961.93,7,0,0
GA,180.96,5,180.96,5,0,0
HI,1128.82,14,1128.82,14,0,0
IL,289.77,2,289.77,2,0,0
KY,94.96,1,94.96,1,0,0
MA,148846.84,1,148846.84,1,0,0
MI,136223.44,1,136223.44,1,0,0
MO,921.69,12,921.69,12,0,0
NC,7142.12,3,7142.12,3,0,0
ND,22.6,1,22.6,1,0,0
NY,31956.68,5,31956.68,5,0,0
OH,3693.81,2,3693.81,2,0,0
OK,247.12,4,247.12,4,0,0
PA,36791.75,3,36791.75,3,0,0
TN,34.3,1,34.3,1,0,0
TX,26459.65,3,26459.65,3,0,0
WA,450.28,3,450.28,3,0,0
