state,dollars,payments,physican_dollars,physican_payments,hospital_dollars,hospital_payments
AK,1286.3,6,1286.3,6,0,0
AL,750.0,2,750.0,2,0,0
AZ,15228.24,28,3228.24,26,12000.0,2
CA,387323.17,93,24931.63,83,362391.54,10
CO,7876.68,22,7876.68,22,0,0
CT,2250.0,5,2250.0,5,0,0
DE,1059.6,7,1059.6,7,0,0
FL,78248.94,22,6661.43,20,71587.51,2
GA,148995.8,9,1080.64,7,147915.16,2
IL,4182.74,17,4182.74,17,0,0
IN,2573.44,18,2573.44,18,0,0
KS,1721.9,8,1721.9,8,0,0
LA,8000.0,2,0,0,8000.0,2
MA,19205.62,20,19205.62,20,0,0
MD,10538.07,27,10538.07,27,0,0
ME,541.14,2,541.14,2,0,0
MI,2475.13,15,2475.13,15,0,0
MN,26231.13,80,26231.13,80,0,0
MO,50170.85,46,23723.63,45,26447.22,1
MS,3675.41,27,3675.41,27,0,0
NC,500.0,1,500.0,1,0,0
NH,500.0,1,500.0,1,0,0
NJ,568.0,4,568.0,4,0,0
NY,360207.88,56,15203.63,53,345004.25,3
OH,6577.18,32,6577.18,32,0,0
OK,915.23,6,915.23,6,0,0
OR,4241.56,31,4241.56,31,0,0
PA,12050.59,50,12050.59,50,0,0
RI,68.08,2,68.08,2,0,0
SC,1535.31,12,1535.31,12,0,0
TN,5404.1,27,5404.1,27,0,0
TX,10604.12,59,10604.12,59,0,0
UT,500.0,1,500.0,1,0,0
VA,1185.86,8,1185.86,8,0,0
WA,6644.74,13,1644.74,12,5000.0,1
WI,765.71,3,765.71,3,0,0
