state,dollars,payments,physican_dollars,physican_payments,hospital_dollars,hospital_payments
AL,19.78,2,19.78,2,0,0
CA,117.62,13,117.62,13,0,0
CO,68.56,7,68.56,7,0,0
FL,894.08,41,894.08,41,0,0
GA,36.81,3,36.81,3,0,0
HI,11.15,1,11.15,1,0,0
IA,11.65,1,11.65,1,0,0
IN,55.6,3,55.6,3,0,0
LA,199.52,16,199.52,16,0,0
MA,5442.41,7,5442.41,7,0,0
MI,190.75,9,190.75,9,0,0
MO,50.36,5,50.36,5,0,0
ND,30.47,5,30.47,5,0,0
NJ,8.45,1,8.45,1,0,0
NV,14.0,2,14.0,2,0,0
NY,9682.62,10,7182.62,9,2500.0,1
OH,111.12,5,111.12,5,0,0
OK,58.31,5,58.31,5,0,0
OR,2000.0,1,2000.0,1,0,0
PA,3512.75,24,1012.75,23,2500.0,1
WA,4788.88,5,489.72,2,4299.16,3
