state,dollars,payments,physican_dollars,physican_payments,hospital_dollars,hospital_payments
,109.4,1,109.4,1,0,0
AK,481.47,7,481.47,7,0,0
AL,758.58,17,758.58,17,0,0
AR,32515.24,151,9030.3,149,23484.94,2
AZ,211562.62,571,210592.64,569,969.98,2
CA,34819.37,53,3116.89,34,31702.48,19
CO,5510.5,20,2899.37,18,2611.13,2
CT,82827.14,242,82827.14,242,0,0
DC,15315.93,39,11264.35,35,4051.58,4
DE,1453.81,26,1453.81,26,0,0
FL,494949.04,1042,475213.35,1035,19735.69,7
GA,368452.98,388,368452.98,388,0,0
HI,560.56,11,560.56,11,0,0
IA,36715.31,213,29669.3,206,7046.01,7
ID,2142.08,108,2142.08,108,0,0
IL,641602.57,804,599912.07,795,41690.5,9
IN,369541.75,485,368941.75,484,600.0,1
KS,32310.56,191,32310.56,191,0,0
KY,262723.01,420,262723.01,420,0,0
LA,12858.7,40,3097.76,37,9760.94,3
MA,668845.28,366,646440.07,355,22405.21,11
MD,81282.96,182,67282.96,179,14000.0,3
ME,1361.61,13,1361.61,13,0,0
MI,609551.59,953,546899.87,938,62651.72,15
MN,478022.21,490,475522.21,489,2500.0,1
MO,134371.8,575,118773.08,568,15598.72,7
MS,8337.5,71,7547.5,70,790.0,1
NC,251491.59,274,241345.11,270,10146.48,4
ND,2306.53,22,2306.53,22,0,0
NE,10717.13,122,10717.13,122,0,0
NH,26372.75,73,26372.75,73,0,0
NJ,170503.22,421,154379.36,414,16123.86,7
NM,5151.62,57,3117.97,55,2033.65,2
NV,29505.94,225,29505.94,225,0,0
NY,1185686.4,1161,1079984.84,1131,105701.56,30
OH,497251.47,650,483177.81,646,14073.66,4
OK,44307.31,393,40126.91,392,4180.4,1
OR,37922.11,93,37132.11,92,790.0,1
PA,420415.38,732,391287.53,719,29127.85,13
PR,52.41,1,52.41,1,0,0
RI,9717.6,6,144.01,1,9573.59,5
SC,28405.91,170,23129.36,166,5276.55,4
SD,478.41,9,478.41,9,0,0
TN,47252.75,227,21754.49,222,25498.26,5
TX,534968.91,2059,531473.38,2055,3495.53,4
UT,1329.56,30,1329.56,30,0,0
VA,117443.02,472,113731.72,470,3711.3,2
VT,1258.14,6,1258.14,6,0,0
WA,285241.69,397,259724.79,390,25516.9,7
WI,2136.43,14,878.04,12,1258.39,2
WV,64739.73,70,59167.74,65,5571.99,5
WY,332.95,9,332.95,9,0,0
