state,dollars,payments,physican_dollars,physican_payments,hospital_dollars,hospital_payments
AL,13.97,1,13.97,1,0,0
AR,500.0,1,0,0,500.0,1
AZ,355.74,10,355.74,10,0,0
CA,2275.91,53,2275.91,53,0,0
CO,131.04,3,131.04,3,0,0
CT,37.0,2,37.0,2,0,0
FL,21256.68,22,1415.21,19,19841.47,3
GA,456.61,8,456.61,8,0,0
IL,19221.73,16,316.73,8,18905.0,8
IN,20.22,1,20.22,1,0,0
KS,10.93,1,10.93,1,0,0
KY,255.27,5,255.27,5,0,0
LA,197.12,4,197.12,4,0,0
MA,611.08,7,611.08,7,0,0
MI,247.62,7,247.62,7,0,0
MN,368.9,3,368.9,3,0,0
MO,31.87,2,31.87,2,0,0
MS,94.41,1,94.41,1,0,0
MT,98.78,2,98.78,2,0,0
NJ,149.9,8,149.9,8,0,0
NV,54.4,2,54.4,2,0,0
NY,634.73,16,634.73,16,0,0
OH,281.91,11,281.91,11,0,0
OK,366.58,9,366.58,9,0,0
PA,3835.9,20,3835.9,20,0,0
RI,37.01,2,37.01,2,0,0
SC,102.98,1,102.98,1,0,0
TN,227.11,5,227.11,5,0,0
TX,2446.0,34,2446.0,34,0,0
UT,142.4,1,142.4,1,0,0
WA,120.34,4,120.34,4,0,0
