state,dollars,payments,physican_dollars,physican_payments,hospital_dollars,hospital_payments
AL,3339.11,11,3339.11,11,0,0
CA,32946.42,9,32946.42,9,0,0
CO,5383.38,3,5383.38,3,0,0
CT,29013.0,5,29013.0,5,0,0
FL,36.56,1,36.56,1,0,0
IL,9750.0,3,9750.0,3,0,0
IN,10520.1,6,10520.1,6,0,0
MA,16434.63,3,16434.63,3,0,0
MI,14350.0,13,14350.0,13,0,0
MN,1308.8,3,1308.8,3,0,0
NY,39011.8,7,39011.8,7,0,0
OH,26147.82,2,26147.82,2,0,0
PA,11.6,1,11.6,1,0,0
TX,24915.0,6,24915.0,6,0,0
WA,17639.5,4,17639.5,4,0,0
WI,2698.0,2,2698.0,2,0,0
