state,dollars,payments,physican_dollars,physican_payments,hospital_dollars,hospital_payments
,10.51,1,10.51,1,0,0
AK,1119.05,51,1119.05,51,0,0
AL,4012.07,198,2362.07,194,1650.0,4
AR,17304.64,532,16805.64,531,499.0,1
AZ,90370.87,1301,80370.87,1300,10000.0,1
CA,665043.23,7058,576993.23,7050,88050.0,8
CO,38.85,5,38.85,5,0,0
CT,115989.53,1273,115989.53,1273,0,0
DC,14798.13,64,4798.13,62,10000.0,2
DE,9610.22,222,7610.22,220,2000.0,2
FL,463999.67,3570,233999.67,3567,230000.0,3
GA,106968.0,2170,91968.0,2169,15000.0,1
HI,3080.39,133,3080.39,133,0,0
IA,3441.73,206,1841.73,201,1600.0,5
ID,1749.61,138,1749.61,138,0,0
IL,98906.99,2731,89106.99,2727,9800.0,4
IN,71156.76,2024,70177.71,2019,979.05,5
KS,6493.53,549,6493.53,549,0,0
KY,48177.66,1802,47677.66,1801,500.0,1
LA,11049.77,225,2549.77,222,8500.0,3
MA,60800.37,683,40600.37,681,20200.0,2
MD,113923.96,752,112923.96,751,1000.0,1
ME,633.0,35,633.0,35,0,0
MI,148646.61,3329,142896.61,3318,5750.0,11
MN,42835.55,106,42085.55,103,750.0,3
MO,110626.9,1639,108876.9,1637,1750.0,2
MS,20570.14,923,19070.14,922,1500.0,1
NC,170106.96,2298,170106.96,2298,0,0
ND,3072.93,281,2772.93,280,300.0,1
NE,29769.14,508,29469.14,507,300.0,1
NH,43813.63,200,43813.63,200,0,0
NJ,95132.89,1599,94082.89,1594,1050.0,5
NM,8544.38,165,8544.38,165,0,0
NV,22684.71,578,22684.71,578,0,0
NY,574999.66,4989,437324.66,4983,137675.0,6
OH,122705.3,2885,120180.3,2879,2525.0,6
OK,29565.38,1050,29565.38,1050,0,0
OR,21953.9,398,21953.9,398,0,0
PA,231343.37,4089,216893.37,4082,14450.0,7
PR,27.87,2,27.87,2,0,0
RI,23739.14,139,23739.14,139,0,0
SC,40959.91,1708,40209.91,1707,750.0,1
SD,1291.85,114,1041.85,113,250.0,1
TN,98091.14,2014,97341.14,2013,750.0,1
TX,587520.01,6420,370837.01,6415,216683.0,5
UT,11474.16,272,11474.16,272,0,0
VA,106495.16,2370,89995.16,2369,16500.0,1
VT,3038.47,3,3038.47,3,0,0
WA,72258.64,986,64533.3,982,7725.34,4
WI,550.68,41,550.68,41,0,0
WV,33302.43,663,33302.43,663,0,0
WY,185.42,24,185.42,24,0,0
