state,dollars,payments,physican_dollars,physican_payments,hospital_dollars,hospital_payments
AL,3189.5,26,3189.5,26,0,0
AR,11988.55,323,11988.55,323,0,0
AZ,122534.75,1134,122534.75,1134,0,0
CA,85055.11,238,63255.11,233,21800.0,5
CO,92268.77,348,83768.77,345,8500.0,3
CT,83342.29,680,81342.29,679,2000.0,1
DC,12962.73,89,11462.73,88,1500.0,1
DE,1146.94,40,1146.94,40,0,0
FL,130416.57,843,130416.57,843,0,0
GA,14999.64,20,499.64,17,14500.0,3
HI,23149.17,215,23149.17,215,0,0
IA,8153.65,101,8153.65,101,0,0
ID,1053.49,33,1053.49,33,0,0
IL,225048.59,897,218048.59,895,7000.0,2
IN,38756.49,485,36692.49,480,2064.0,5
KS,40516.48,168,40516.48,168,0,0
KY,47972.2,408,43472.2,396,4500.0,12
LA,6567.56,78,6567.56,78,0,0
MA,198681.06,747,194781.06,745,3900.0,2
MD,139565.33,571,139565.33,571,0,0
ME,89.61,7,89.61,7,0,0
MI,242699.75,977,233549.75,970,9150.0,7
MN,56070.47,95,56070.47,95,0,0
MO,155747.82,622,155747.82,622,0,0
MS,15379.17,575,13879.17,574,1500.0,1
MT,365.43,15,265.43,14,100.0,1
NC,96082.94,780,96082.94,780,0,0
ND,135.87,6,135.87,6,0,0
NE,9242.65,161,9242.65,161,0,0
NH,2141.48,34,1141.48,33,1000.0,1
NJ,187123.58,1310,185123.58,1309,2000.0,1
NM,605.39,33,605.39,33,0,0
NV,88554.12,421,88554.12,421,0,0
NY,11516.69,72,3516.69,70,8000.0,2
OH,88785.52,557,88785.52,557,0,0
OK,56692.24,408,56692.24,408,0,0
OR,43168.18,98,41668.18,97,1500.0,1
PA,269068.42,1242,245368.42,1237,23700.0,5
PR,9312.17,23,9312.17,23,0,0
RI,4084.61,49,4084.61,49,0,0
SC,52199.99,636,52199.99,636,0,0
SD,9268.68,25,9268.68,25,0,0
TN,2235.55,33,485.55,32,1750.0,1
TX,600105.44,4347,596905.44,4343,3200.0,4
UT,2112.65,22,2112.65,22,0,0
VA,197963.26,850,197963.26,850,0,0
WA,81566.05,374,81066.05,373,500.0,1
WV,9647.07,170,9647.07,170,0,0
WY,76.96,6,76.96,6,0,0
