state,dollars,payments,physican_dollars,physican_payments,hospital_dollars,hospital_payments
AL,921.22,2,345.0,1,576.22,1
CA,9221.09,14,660.55,8,8560.54,6
CO,2765.77,4,931.06,2,1834.71,2
CT,172.47,6,172.47,6,0,0
FL,1266.22,3,690.0,2,576.22,1
GA,1078.34,4,1078.34,4,0,0
IA,33.61,2,33.61,2,0,0
IL,225.0,9,225.0,9,0,0
IN,26.14,1,26.14,1,0,0
MA,30293.53,9,2000.0,5,28293.53,4
MD,365.21,2,20.0,1,345.21,1
MN,145.11,10,145.11,10,0,0
MO,22.34,2,22.34,2,0,0
MS,479.27,10,479.27,10,0,0
NC,9688.01,10,6688.01,9,3000.0,1
ND,350.0,1,0,0,350.0,1
NJ,396.7,2,396.7,2,0,0
NY,13056.05,54,13056.05,54,0,0
OK,849.59,9,849.59,9,0,0
OR,100393.02,4,393.02,3,100000.0,1
PA,2300.02,12,2300.02,12,0,0
PR,345.0,1,345.0,1,0,0
RI,3954.44,2,0,0,3954.44,2
TN,983.65,9,983.65,9,0,0
TX,10538.59,10,4276.0,7,6262.59,3
VA,1725.0,5,1725.0,5,0,0
WA,721.5,3,721.5,3,0,0
WI,5065.31,6,400.72,5,4664.59,1
