state,dollars,payments,physican_dollars,physican_payments,hospital_dollars,hospital_payments
AZ,71.76,3,71.76,3,0,0
CA,10651.08,73,10651.08,73,0,0
CT,73.0,2,73.0,2,0,0
DE,15.98,1,15.98,1,0,0
FL,684.3,46,684.3,46,0,0
GA,1138.86,7,1138.86,7,0,0
ID,48.0,1,48.0,1,0,0
IL,10.17,1,10.17,1,0,0
IN,14.29,1,14.29,1,0,0
KS,1717.7,34,1717.7,34,0,0
LA,16489.11,4,16489.11,4,0,0
MD,2894.52,66,2894.52,66,0,0
ME,13.39,1,13.39,1,0,0
MI,149.59,6,149.59,6,0,0
MN,104.52,2,104.52,2,0,0
MO,883.22,13,883.22,13,0,0
NC,736.75,26,736.75,26,0,0
NH,259.25,7,259.25,7,0,0
NJ,1906.54,12,1906.54,12,0,0
NV,10.91,1,10.91,1,0,0
NY,204.43,2,204.43,2,0,0
OH,3621.7,26,3621.7,26,0,0
OK,59.85,2,59.85,2,0,0
OR,10.0,1,10.0,1,0,0
PA,524.88,21,524.88,21,0,0
RI,27.19,2,27.19,2,0,0
SC,1310.97,54,1310.97,54,0,0
TN,59.22,5,59.22,5,0,0
TX,16763.96,57,16763.96,57,0,0
UT,20.96,2,20.96,2,0,0
WA,393.72,2,393.72,2,0,0
WV,26.63,3,26.63,3,0,0
