state,dollars,payments,physican_dollars,physican_payments,hospital_dollars,hospital_payments
AK,4946.76,46,4946.76,46,0,0
AL,7556.11,20,7556.11,20,0,0
AP,14.25,1,14.25,1,0,0
AR,14124.42,245,14124.42,245,0,0
AZ,58373.03,1000,58373.03,1000,0,0
CA,1106997.23,10754,1102997.23,10752,4000.0,2
CO,9534.28,36,6034.28,32,3500.0,4
CT,239294.0,1215,238794.0,1214,500.0,1
DC,64730.45,366,64730.45,366,0,0
DE,20618.91,105,20618.91,105,0,0
FL,338929.68,3687,338929.68,3687,0,0
GA,193425.83,1325,193425.83,1325,0,0
HI,5886.08,256,5886.08,256,0,0
IA,4729.29,36,1454.29,32,3275.0,4
ID,1013.84,14,1013.84,14,0,0
IL,331976.63,2333,328626.63,2330,3350.0,3
IN,123691.85,554,123541.85,553,150.0,1
KS,14351.3,314,14351.3,314,0,0
KY,67766.82,789,67766.82,789,0,0
LA,9267.46,50,9267.46,50,0,0
MA,463419.14,1793,430419.14,1790,33000.0,3
MD,454813.16,955,454813.16,955,0,0
ME,15702.07,102,15702.07,102,0,0
MI,223381.35,1472,223181.35,1471,200.0,1
MN,61303.42,247,61303.42,247,0,0
MO,92584.42,827,91384.42,826,1200.0,1
MS,23753.82,322,23753.82,322,0,0
MT,3429.88,73,3429.88,73,0,0
NC,247506.03,1327,247506.03,1327,0,0
ND,570.68,41,570.68,41,0,0
NE,46344.44,230,46344.44,230,0,0
NH,6250.44,130,6250.44,130,0,0
NJ,174889.29,2250,174889.29,2250,0,0
NM,13271.9,115,13271.9,115,0,0
NV,36648.73,579,36648.73,579,0,0
NY,822794.62,7099,821294.62,7097,1500.0,2
OH,180325.25,1824,172385.25,1818,7940.0,6
OK,23001.07,461,23001.07,461,0,0
OR,70064.83,693,70064.83,693,0,0
PA,1194330.29,3718,501844.29,3714,692486.0,4
PR,4391.56,67,4391.56,67,0,0
RI,10431.9,148,10431.9,148,0,0
SC,20302.35,234,20302.35,234,0,0
SD,782.91,46,782.91,46,0,0
TN,169034.72,1139,169034.72,1139,0,0
TX,256825.92,2671,256825.92,2671,0,0
UT,76920.8,275,76920.8,275,0,0
VA,368156.71,1620,368156.71,1620,0,0
VI,14.25,1,14.25,1,0,0
VT,1324.7,15,1324.7,15,0,0
WA,148644.63,993,148644.63,993,0,0
WI,1814.85,60,1814.85,60,0,0
WV,16329.65,478,16329.65,478,0,0
WY,295.97,47,295.97,47,0,0
