state,dollars,payments,physican_dollars,physican_payments,hospital_dollars,hospital_payments
AK,15.12,1,15.12,1,0,0
AL,20358.05,50,20270.49,48,87.56,2
AR,364.45,11,364.45,11,0,0
AZ,7640.27,46,4097.72,44,3542.55,2
CA,139797.41,191,87296.11,180,52501.3,11
CO,27871.75,20,27871.75,20,0,0
CT,14000.78,54,10785.78,51,3215.0,3
DC,106587.18,35,106587.18,35,0,0
DE,288.01,3,288.01,3,0,0
FL,43272.59,216,32912.59,211,10360.0,5
GA,94666.37,131,89666.37,130,5000.0,1
HI,606.22,17,606.22,17,0,0
IA,4632.51,25,4632.51,25,0,0
ID,277.35,3,277.35,3,0,0
IL,932154.07,137,881954.07,131,50200.0,6
IN,4152.9,13,4152.9,13,0,0
KS,2080.12,19,2080.12,19,0,0
KY,13883.57,91,13883.57,91,0,0
LA,12663.41,12,11663.41,11,1000.0,1
MA,264407.77,143,249327.77,140,15080.0,3
MD,11535.93,162,7858.71,160,3677.22,2
ME,795.81,15,795.81,15,0,0
MI,31376.23,81,31376.23,81,0,0
MN,29652.55,118,29652.55,118,0,0
MO,140835.8,60,140754.83,59,80.97,1
MS,1513.98,19,1513.98,19,0,0
MT,79.8,1,79.8,1,0,0
NC,94836.04,148,85836.04,147,9000.0,1
ND,1914.62,11,1914.62,11,0,0
NE,6151.94,24,6151.94,24,0,0
NH,47019.55,28,46919.55,27,100.0,1
NJ,65711.68,98,65607.02,97,104.66,1
NM,1660.64,16,1660.64,16,0,0
NV,800.87,9,385.87,8,415.0,1
NY,191501.37,399,174018.59,389,17482.78,10
OH,65777.59,146,65244.03,144,533.56,2
OK,7587.95,25,7587.95,25,0,0
OR,11224.39,65,11224.39,65,0,0
PA,230849.73,338,230744.27,337,105.46,1
PR,277.61,3,277.61,3,0,0
RI,9225.02,16,9225.02,16,0,0
SC,22765.71,66,22765.71,66,0,0
SD,8382.45,9,8382.45,9,0,0
TN,15463.95,75,15463.95,75,0,0
TX,79703.92,294,58123.17,292,21580.75,2
UT,1211.84,6,1211.84,6,0,0
VA,40201.89,123,40111.89,122,90.0,1
VT,34.79,1,34.79,1,0,0
WA,28844.23,43,28844.23,43,0,0
WI,36962.17,44,36962.17,44,0,0
WV,4291.3,20,4291.3,20,0,0
WY,7154.66,5,7154.66,5,0,0
