state,dollars,payments,physican_dollars,physican_payments,hospital_dollars,hospital_payments
AR,2038.96,1,0,0,2038.96,1
AZ,49.17,2,49.17,2,0,0
CA,729073.19,10,2935.19,5,726138.0,5
DC,57.5,1,57.5,1,0,0
IL,2117.84,2,2117.84,2,0,0
IN,539.72,9,539.72,9,0,0
MA,23295.0,1,0,0,23295.0,1
MS,790.82,10,790.82,10,0,0
NC,3275.2,4,0,0,3275.2,4
NE,21.18,1,21.18,1,0,0
NY,925.52,14,925.52,14,0,0
OH,1031.4,1,1031.4,1,0,0
OK,1765.44,12,722.01,11,1043.43,1
OR,18789.0,3,0,0,18789.0,3
PA,39812.17,5,39812.17,5,0,0
TX,142934.93,3,134934.93,2,8000.0,1
VA,695.85,11,695.85,11,0,0
WA,30484.0,3,0,0,30484.0,3
