state,dollars,payments,physican_dollars,physican_payments,hospital_dollars,hospital_payments
AK,1582.3,1,0,0,1582.3,1
AL,4530.03,9,33.33,1,4496.7,8
AR,1205.0,2,0,0,1205.0,2
AZ,252406.87,702,10.97,1,252395.9,701
CA,551756.75,967,737.56,11,551019.19,956
CO,134719.05,869,6264.9,25,128454.15,844
CT,19079.86,55,26.93,1,19052.93,54
DC,98419.69,164,179.41,3,98240.28,161
DE,1810.59,10,0,0,1810.59,10
FL,395936.01,880,7062.14,74,388873.87,806
GA,153228.27,151,3088.92,29,150139.35,122
HI,23029.74,121,0,0,23029.74,121
IA,246.32,5,0,0,246.32,5
ID,1123.16,8,1123.16,8,0,0
IL,305299.91,383,23762.16,30,281537.75,353
IN,22824.76,22,258.88,8,22565.88,14
KS,1979.05,4,0,0,1979.05,4
KY,13968.26,78,5137.87,28,8830.39,50
LA,37241.73,81,1159.9,8,36081.83,73
MA,147667.19,166,15194.9,5,132472.29,161
MD,33422.97,50,2057.3,15,31365.67,35
ME,21156.37,9,147.19,3,21009.18,6
MI,115770.15,344,1994.2,16,113775.95,328
MN,13123.65,23,1100.0,2,12023.65,21
MO,53536.55,129,22466.75,23,31069.8,106
MS,41223.15,9,174.48,3,41048.67,6
NC,83559.84,187,8993.97,13,74565.87,174
ND,96.86,2,10.36,1,86.5,1
NE,41.41,2,41.41,2,0,0
NH,922.58,12,146.08,2,776.5,10
NJ,30779.16,105,1053.31,12,29725.85,93
NM,869.67,3,0,0,869.67,3
NV,216.88,1,216.88,1,0,0
NY,641270.96,1356,97313.59,91,543957.37,1265
OH,144924.57,433,3109.35,28,141815.22,405
OK,1134.85,10,816.02,7,318.83,3
OR,10527.36,36,2236.69,11,8290.67,25
PA,194689.63,485,65006.73,118,129682.9,367
RI,15589.39,16,10553.31,3,5036.08,13
SC,7360.12,25,661.18,12,6698.94,13
SD,67.79,1,0,0,67.79,1
TN,130.59,3,130.59,3,0,0
TX,498255.41,1045,757.67,22,497497.74,1023
UT,2272.81,10,15.48,1,2257.33,9
VA,120121.11,91,1416.89,24,118704.22,67
WA,43963.47,51,418.35,11,43545.12,40
WI,53389.47,97,13939.18,11,39450.29,86
WV,662.89,8,120.86,2,542.03,6
WY,14.1,1,0,0,14.1,1
