state,dollars,payments,physican_dollars,physican_payments,hospital_dollars,hospital_payments
AR,302.42,5,302.42,5,0,0
AZ,1083.44,21,1083.44,21,0,0
CA,645.35,9,645.35,9,0,0
DE,386.52,4,386.52,4,0,0
FL,4791.04,74,4791.04,74,0,0
GA,389.59,11,389.59,11,0,0
IL,180.49,2,180.49,2,0,0
IN,760.63,8,760.63,8,0,0
KS,1058.4,11,1058.4,11,0,0
KY,16.35,1,16.35,1,0,0
MA,13.24,1,13.24,1,0,0
MD,147.02,2,147.02,2,0,0
MI,1159.23,25,1159.23,25,0,0
MO,1808.14,21,1808.14,21,0,0
MS,314.33,5,314.33,5,0,0
NC,1495.21,22,1495.21,22,0,0
NE,176.45,3,176.45,3,0,0
NJ,1381.05,17,1381.05,17,0,0
NV,1075.54,14,1075.54,14,0,0
NY,424.41,7,424.41,7,0,0
OH,1511.11,7,511.11,6,1000.0,1
OK,1472.38,17,1472.38,17,0,0
PA,944.09,13,944.09,13,0,0
SC,579.92,13,579.92,13,0,0
TN,305.29,10,305.29,10,0,0
TX,2769.38,45,2769.38,45,0,0
VA,3090.53,4,90.53,3,3000.0,1
WA,1676.11,21,1676.11,21,0,0
