state,dollars,payments,physican_dollars,physican_payments,hospital_dollars,hospital_payments
,285.0,1,285.0,1,0,0
AL,20810.23,42,6384.21,35,14426.02,7
AR,197.24,13,197.24,13,0,0
AZ,173.44,8,173.44,8,0,0
CA,4874.22,35,2196.22,33,2678.0,2
CO,1059.83,11,324.6,3,735.23,8
CT,20621.23,43,5621.23,42,15000.0,1
DC,28.64,1,28.64,1,0,0
DE,60.79,3,60.79,3,0,0
FL,20396.44,20,653.15,6,19743.29,14
GA,715.14,37,715.14,37,0,0
IL,4063.65,54,1683.65,53,2380.0,1
IN,1672.93,4,46.6,3,1626.33,1
KS,569.29,7,119.29,6,450.0,1
KY,676.52,13,676.52,13,0,0
LA,1054.84,4,1054.84,4,0,0
MA,75230.83,67,9393.67,41,65837.16,26
MD,1646.63,21,1576.63,20,70.0,1
MI,14382.74,67,2168.74,62,12214.0,5
MN,4027.17,9,1765.17,8,2262.0,1
MO,1457.32,15,743.32,14,714.0,1
NC,3632.64,35,2275.14,33,1357.5,2
NE,20.61,1,20.61,1,0,0
NJ,51352.47,103,46257.47,101,5095.0,2
NM,200.0,1,200.0,1,0,0
NV,139.84,11,139.84,11,0,0
NY,38028.83,129,3593.77,114,34435.06,15
OH,2159854.18,58,2150895.95,51,8958.23,7
OK,179.34,3,179.34,3,0,0
OR,839.61,11,839.61,11,0,0
PA,21436.32,75,16270.24,71,5166.08,4
PR,58630.0,1,58630.0,1,0,0
RI,70.87,3,70.87,3,0,0
SC,914.96,31,414.96,30,500.0,1
TN,6568.42,14,5776.42,13,792.0,1
TX,50266.61,146,5345.34,134,44921.27,12
UT,112.38,6,62.38,4,50.0,2
VA,1387.62,19,276.95,18,1110.67,1
WA,3604.83,17,1224.83,16,2380.0,1
WI,7782.45,14,418.78,10,7363.67,4
WV,880.69,2,880.69,2,0,0
